adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950170-23-008513	1320350	LENSAR, INC.	3841	US	FL	ORLANDO	32826	2800 DISCOVERY DRIVE	SUITE 100	888-536-7271	US	FL	ORLANDO	32826	2800 DISCOVERY DRIVE	SUITE 100	US	DE	320125724	LENSAR INC	20070703	4-NON	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 16:51:00.0	0	1	lnsr-20221231_htm.xml	1	
0000950170-23-008516	1609253	CALIFORNIA RESOURCES CORP	1311	US	CA	LONG BEACH	90831	1 WORLD TRADE CENTER	SUITE 1500	8888484754	US	CA	LONG BEACH	90831	1 WORLD TRADE CENTER	SUITE 1500	US	DE	465670947			1-LAF	0		DEF 14A				20230316	2023-03-16 16:55:00.0	0	0	crc-20230316_htm.xml	1	
0000950170-23-008517	1098972	AGENUS INC	2836	US	MA	LEXINGTON	02421	3 FORBES ROAD		781-674-4410	US	MA	LEXINGTON	02421	3 FORBES ROAD		US	DE	061562417	ANTIGENICS INC /DE/	19991115	2-ACC	1	1231	10-K	20221231	2022	FY	20230316	2023-03-16 16:55:00.0	0	1	agen-20221231_htm.xml	1	
0000950170-23-008523	1787400	NKARTA, INC.	2834	US	CA	SOUTH SAN FRANCISCO	94080	6000 SHORELINE COURT	SUITE 102	415-582-4923	US	CA	SOUTH SAN FRANCISCO	94080	6000 SHORELINE COURT	SUITE 102	US	DE	474515206			4-NON	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 17:02:00.0	0	1	nktx-20221231_htm.xml	1	
0000950170-23-008525	1729997	GRAYSCALE DIGITAL LARGE CAP FUND LLC	6221	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	212-668-5920	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	KY		981406784			4-NON	0	0630	8-K	20230331			20230316	2023-03-16 17:03:00.0	0	0	gdlc-20230316_htm.xml	1	
0000950170-23-008526	1531177	SIGHT SCIENCES, INC.	3841	US	CA	MENLO PARK	94025	3000 SAND HILL ROAD	BUILDING 3, SUITE 105	(415) 889-0550	US	CA	MENLO PARK	94025	3000 SAND HILL ROAD	BUILDING 3, SUITE 105	US	DE	800625749			4-NON	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 17:04:00.0	0	1	sght-20221231_htm.xml	1	
0000950170-23-008527	1725210	GRAYSCALE ETHEREUM TRUST (ETH)	6221	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	212 668 5921	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	US	DE	826677805	ETHEREUM INVESTMENT TRUST	20171212	1-LAF	0	1231	8-K	20230331			20230316	2023-03-16 17:04:00.0	0	0	ethe-20230316_htm.xml	1	
0001005286-23-000055	1005286	LIFECORE BIOMEDICAL, INC. DE	2834	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		9523684300	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		US	DE	943025618	LANDEC CORP CA	19951222	2-ACC	0	0531	10-K/A	20220531	2022	FY	20230316	2023-03-16 16:07:00.0	0	1	lndc-20220529_htm.xml	1	
0001005286-23-000056	1005286	LIFECORE BIOMEDICAL, INC. DE	2834	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		9523684300	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		US	DE	943025618	LANDEC CORP CA	19951222	2-ACC	0	0831	10-Q/A	20220831	2022	Q1	20230316	2023-03-16 16:08:00.0	0	1	lndc-20220828_htm.xml	1	
0001005286-23-000057	1005286	LIFECORE BIOMEDICAL, INC. DE	2834	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		9523684300	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		US	DE	943025618	LANDEC CORP CA	19951222	2-ACC	0	0531	10-Q	20221130	2023	Q2	20230316	2023-03-16 16:14:00.0	0	1	lndc-20221127_htm.xml	1	
0001005286-23-000059	1005286	LIFECORE BIOMEDICAL, INC. DE	2834	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		9523684300	US	MN	CHASKA	55318	3515 LYMAN BOULEVARD		US	DE	943025618	LANDEC CORP CA	19951222	2-ACC	0	0531	8-K	20230331			20230316	2023-03-16 16:32:00.0	1	0	lndc-20230316_htm.xml	1	
0001007587-23-000001	1007587	KVH INDUSTRIES INC DE	3663	US	RI	MIDDLETOWN	02842	50 ENTERPRISE CENTER		4018473327	US	RI	MIDDLETOWN	02842	50 ENTERPRISE CENTER		US	DE	050420589			2-ACC	0	1231	8-K	20230331			20230316	2023-03-16 08:52:00.0	0	0	kvhi-20230316_htm.xml	1	
0001007587-23-000002	1007587	KVH INDUSTRIES INC DE	3663	US	RI	MIDDLETOWN	02842	50 ENTERPRISE CENTER		4018473327	US	RI	MIDDLETOWN	02842	50 ENTERPRISE CENTER		US	DE	050420589			2-ACC	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 16:21:00.0	0	1	kvhi-20221231_htm.xml	1	
0001008654-23-000022	1008654	TUPPERWARE BRANDS CORP	3089	US	FL	ORLANDO	32837-6600	14901 S ORANGE BLOSSOM TRAIL		(407) 826-5050	US	FL	ORLANDO	32802-2353	P O BOX 2353		US	DE	364062333	TUPPERWARE CORP	19960221	1-LAF	0	1231	8-K	20230228			20230316	2023-03-16 16:40:00.0	0	0	tup-20230312_htm.xml	1	
0001029145-23-000006	1029145	GOLDEN OCEAN GROUP LTD	4400	BM		HAMILTON HM 08	00000	PAR LA VILLE PLACE, 4TH FLOOR	14 PAR LA VILLE ROAD	4412956935	BM		HAMILTON HM 08	00000	PAR LA VILLE PLACE, 4TH FLOOR	14 PAR LA VILLE ROAD			000000000	KNIGHTSBRIDGE SHIPPING LTD	20140930	1-LAF	1	1231	20-F	20221231	2022	FY	20230316	2023-03-16 17:11:00.0	0	1	gogl-20221231_htm.xml	1	
0001037390-23-000023	1037390	INDUS REALTY TRUST, INC.	6500	US	NY	NEW YORK	10022	641 LEXINGTON AVENUE	26TH FLOOR	2122187910	US	NY	NEW YORK	10022	641 LEXINGTON AVENUE	26TH FLOOR	US	MD	060868486	GRIFFIN INDUSTRIAL REALTY, INC.	20150515	4-NON	0	1231	8-K	20230228			20230316	2023-03-15 17:33:00.0	0	0	indt-20230315x8k_htm.xml	1	
0001056358-23-000018	1056358	MANNATECH INC	2833	US	TX	FLOWER MOUND	75028	1410 LAKESIDE PARKWAY	SUITE 200	9724717400	US	TX	FLOWER MOUND	75028	1410 LAKESIDE PARKWAY	SUITE 200	US	TX	752508900			4-NON	0	1231	8-K	20230331			20230316	2023-03-16 12:12:00.0	0	0	mtex-20230316_htm.xml	1	
0001062231-23-000021	1062231	AMERICAN AXLE & MANUFACTURING HOLDINGS INC	3714	US	MI	DETROIT	48211-1198	ONE DAUCH DRIVE		3137583600	US	MI	DETROIT	48211-1198	ONE DAUCH DRIVE		US	DE	383161171			1-LAF	0	1231	8-K	20230228			20230316	2023-03-16 08:58:00.0	0	0	axl-20230313_htm.xml	1	
0001062993-23-006970	1545224	SILVER ELEPHANT MINING CORP.	1000	CA	BC	VANCOUVER	V6C 1T2	SUITE 1610 - 409 GRANVILLE STREET		604-569-3661	CA	BC	VANCOUVER	V6C 1T2	SUITE 1610 - 409 GRANVILLE STREET		CA	BC	000000000	PROPHECY DEVELOPMENT CORP.	20150629	4-NON	0	1231	20-F/A	20211231	2021	FY	20230316	2023-03-15 17:39:00.0	0	0	form20fa_htm.xml	1	
0001062993-23-006990	1591956	SPHERE 3D CORP.	6199	CA	ON	TORONTO	M3C 1W3	895 DON MILLS ROAD	BLDG. 2, SUITE 900	416-749-5999	CA	ON	TORONTO	M3C 1W3	895 DON MILLS ROAD	BLDG. 2, SUITE 900	CA	ON	000000000	SPHERE 3D CORP	20131114	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 09:32:00.0	0	0	form8k_htm.xml	1	
0001062993-23-007066	1882607	ALPINE SUMMIT ENERGY PARTNERS, INC.	1311	CA	BC	VANCOUVER	V6C 3E8	2200 - 885 WEST GEORGIA STREET		16155053770	CA	BC	VANCOUVER	V6C 3E8	2200 - 885 WEST GEORGIA STREET		CA	BC	000000000				0	1231	8-K	20230228			20230316	2023-03-16 17:01:00.0	0	0	form8k_htm.xml	1	
0001062993-23-007087	1429937	B2GOLD CORP	1040	CA	BC	VANCOUVER	V6C 2X8	PARK PLACE	SUITE 3400 - 666 BURRARD STREET	(604) 601-2962	CA	BC	VANCOUVER	V6C 2X8	PARK PLACE	SUITE 3400 - 666 BURRARD STREET	CA	BC	000000000				0	1231	40-F	20221231	2022	FY	20230316	2023-03-16 17:28:00.0	0	1	form40f_htm.xml	1	
0001067837-23-000003	1067837	AUDACY, INC.	4832	US	PA	PHILADELPHIA	19103	2400 MARKET STREET	4TH FLOOR	610-660-5610	US	PA	PHILADELPHIA	19103	2400 MARKET STREET	4TH FLOOR	US	PA	231701044	ENTERCOM COMMUNICATIONS CORP	19980806	2-ACC	1	1231	10-K	20221231	2022	FY	20230316	2023-03-16 16:37:00.0	0	1	aud-20221231_htm.xml	1	
0001068148-23-000003	1068148	PARK OHIO INDUSTRIES INC/OH	3460	US	OH	CLEVELAND	44124	6065 PARKLAND BLVD.		4409472211	US	OH	CLEVELAND	44124	6065 PARKLAND BLVD.				346520107			4-NON	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 12:46:00.0	0	1	pkoh-20221231_htm.xml	1	
0001071236-23-000023	1071236	RED RIVER BANCSHARES INC	6022	US	LA	ALEXANDRIA	71301	1412 CENTRE COURT DRIVE	SUITE 501	(318) 561-4000	US	LA	ALEXANDRIA	71301	1412 CENTRE COURT DRIVE	SUITE 501	US	LA	721412058			2-ACC	0	1231	10-K	20221231	2022	FY	20230316	2023-03-15 18:18:00.0	0	1	rrbi-20221231_htm.xml	1	
0001095315-23-000018	1095315	PFSWEB INC	7389	US	TX	IRVING	75063	9250 N. ROYAL LANE, SUITE 100		972-881-2900	US	TX	IRVING	75063	9250 N. ROYAL LANE, SUITE 100		US	DE	752837058			2-ACC	0	1231	8-K	20230228			20230316	2023-03-16 16:07:00.0	0	0	pfsw-20230314_htm.xml	1	
0001096906-23-000556	1104462	COLAMBDA TECHNOLOGIES, INC.	1090	CY		NICOSIA	1311	10 DIONYSIOU SOLOMOU STREET	LEONA BUILDING, SUITE 501, 2406 ENGOMI	801-244-8755	US	UT	SALT LAKE CITY	84103	876 NORTHCLIFFE DR.		US	NV	980361773	NEW CENTURY RESOURCES CORP	20150313	4-NON	0	1231	8-K/A	20220630			20230316	2023-03-16 16:44:00.0	0	0	ncre-20220709_htm.xml	1	
0001102993-23-000016	1102993	LIVEPERSON INC	7372	US	NY	NEW YORK	10018	475 10TH AVENUE	5TH FLOOR	2126094200	US	NY	NEW YORK	10018	475 10TH AVENUE	5TH FLOOR	US	DE	133861628			1-LAF	0	1231	8-K/A	20230228			20230316	2023-03-15 21:57:00.0	0	0	lpsn-20230315_htm.xml	1	
0001102993-23-000019	1102993	LIVEPERSON INC	7372	US	NY	NEW YORK	10018	475 10TH AVENUE	5TH FLOOR	2126094200	US	NY	NEW YORK	10018	475 10TH AVENUE	5TH FLOOR	US	DE	133861628			1-LAF	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 06:17:00.0	0	1	lpsn-20221231_htm.xml	1	
0001104659-23-032929	730708	SEACOAST BANKING CORP OF FLORIDA	6022	US	FL	STUART	34994	815 COLORADO AVE	P O BOX 9012	772 288 6063	US	FL	STUART	34995	815 COLORADO AVE	P O BOX 9012	US	FL	592260678			1-LAF	0	1231	8-K/A	20230131			20230316	2023-03-15 18:32:00.0	0	0	tm237733d1_8ka_htm.xml	1	
0001104659-23-032932	1871638	BURTECH ACQUISITION CORP.	6770	US	MD	BETHESDA	20814	7770 NORFOLK AVE		2027908050	US	MD	BETHESDA	20814	7770 NORFOLK AVE		US	DE	000000000			4-NON	0	1231	8-K	20230228			20230316	2023-03-15 18:35:00.0	0	0	tm239189d1_8k_htm.xml	1	
0001104659-23-032983	277135	W.W. GRAINGER, INC.	5000	US	IL	LAKE FOREST	60045-5201	100 GRAINGER PARKWAY		847-535-1000	US	IL	LAKE FOREST	60045	100 GRAINGER PARKWAY		US	IL	361150280	GRAINGER W W INC	19920703	1-LAF	0		DEF 14A				20230316	2023-03-16 06:02:00.0	0	0	tm231809-2_def14a_htm.xml	1	
0001104659-23-032986	1819576	LIQUIDIA CORP	2834	US	NC	MORRISVILLE	27560	419 DAVIS DRIVE, SUITE 100		919.328.4400	US	NC	MORRISVILLE	27560	419 DAVIS DRIVE, SUITE 100		US	DE	851710962			4-NON	0	1231	8-K	20230228			20230316	2023-03-16 06:02:00.0	0	0	tm239718d1_8k_htm.xml	1	
0001104659-23-032987	1655891	TORM PLC	4412	GB		LONDON	EC3R 8HL	OFFICE 105	20 ST DUNSTAN'S HILL	44 203 286 6222	GB		LONDON	EC3R 8HL	OFFICE 105	20 ST DUNSTAN'S HILL	GB		000000000	TORM LTD	20151125	2-ACC	1	1231	20-F	20221231	2022	FY	20230316	2023-03-16 06:03:00.0	0	1	trmd-20221231x20f_htm.xml	1	
0001104659-23-032991	1385157	TE CONNECTIVITY LTD.	5065	CH		SCHAFFHAUSEN	CH-8200	MUHLENSTRASSE 26		41 0 52 633 6661	CH		SCHAFFHAUSEN	CH-8200	MUHLENSTRASSE 26		CH		980518048	TYCO ELECTRONICS LTD.	20070104	1-LAF	0	0930	8-K	20230228			20230316	2023-03-16 06:04:00.0	0	0	tm239655d1_8k_htm.xml	1	
0001104659-23-032997	1013871	NRG ENERGY, INC.	4911	US	TX	HOUSTON	77002	910 LOUISIANA STREET		713-537-3000	US	TX	HOUSTON	77002	910 LOUISIANA STREET		US	DE	411724239	NRG ENERGY INC	19960509	1-LAF	0		DEF 14A				20230316	2023-03-16 06:06:00.0	0	0	tm231822d2_def14a_htm.xml	1	
0001104659-23-033037	1595527	AMERICAN STRATEGIC INVESTMENT CO.	6798	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	2124156500	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	US	MD	464380248	NEW YORK CITY REIT, INC.	20190313	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 06:40:00.0	0	0	tm239651d1_8k_htm.xml	1	
0001104659-23-033046	792987	ASTEC INDUSTRIES INC	3531	US	TN	CHATTANOOGA	37421	1725 SHEPHERD ROAD		4238995898	US	TN	CHATTANOOGA	37421	1725 SHEPHERD ROAD		US	TN	620873631			1-LAF	0		DEF 14A				20230316	2023-03-16 07:01:00.0	0	0	tm2232505d3_def14a_htm.xml	1	
0001104659-23-033047	1720893	BIOXCEL THERAPEUTICS, INC.	2834	US	CT	NEW HAVEN	06511	555 LONG WHARF DRIVE		203-643-8060	US	CT	NEW HAVEN	06511	555 LONG WHARF DRIVE		US	DE	821386754			4-NON	0	1231	8-K	20230331			20230316	2023-03-16 07:01:00.0	0	0	tm239728d1_8k_htm.xml	1	
0001104659-23-033048	1041859	CHILDRENS PLACE, INC.	5651	US	NJ	SECAUCUS	07094	500 PLAZA DRIVE		2015582400	US	NJ	SECAUCUS	07094	500 PLAZA DRIVE				311241495	CHILDRENS PLACE RETAIL STORES INC	19970702	1-LAF	0	0131	8-K	20230331			20230316	2023-03-16 07:02:00.0	0	0	tm239708d1_8k_htm.xml	1	
0001104659-23-033054	1736243	ACURX PHARMACEUTICALS, INC.	2834	US	NY	STATEN ISLAND	10305	259 LIBERTY AVENUE		917-533-1469	US	NY	STATEN ISLAND	10305	259 LIBERTY AVENUE		US	DE	000000000	ACURX PHARMACEUTICALS, LLC	20180402	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 07:23:00.0	0	0	tm239317-2_8k_htm.xml	1	
0001104659-23-033066	1850119	CENTURY THERAPEUTICS, INC.	2836	US	PA	PHILADELPHIA	19104	3675 MARKET STREET		215-981-4000	US	PA	PHILADELPHIA	19104	3675 MARKET STREET		US	DE	842040295			4-NON	0	1231	8-K	20230331			20230316	2023-03-16 07:46:00.0	0	0	tm239540d1_8k_htm.xml	1	
0001104659-23-033072	1662684	KULR TECHNOLOGY GROUP, INC.	3670	US	CA	SAN DIEGO	92111	4863 SHAWLINE STREET		408-663-5247	US	CA	SAN DIEGO	92111	4863 SHAWLINE STREET		US	DE	811004273	KT HIGH-TECH MARKETING INC.	20160420	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 08:01:00.0	0	0	tm239709d1_8k_htm.xml	1	
0001104659-23-033082	9389	BALL CORP	3411	US	CO	WESTMINSTER	80021	9200 W. 108TH CIRCLE		3034695511	US	CO	WESTMINSTER	80021	9200 W. 108TH CIRCLE		US	IN	350160610	BALL CORP	19920703	1-LAF	0		DEF 14A				20230316	2023-03-16 08:19:00.0	0	0	tm231453d2_def14a_htm.xml	1	
0001104659-23-033086	1472012	IMMUNOME INC.	2834	US	PA	EXTON	19341	665 STOCKTON DRIVE	SUITE 300	610-321-3700	US	PA	EXTON	19341	665 STOCKTON DRIVE	SUITE 300	US	DE	770694340			4-NON	0	1231	8-K	20230331			20230316	2023-03-16 08:26:00.0	0	0	tm239583d1_8k_htm.xml	1	
0001104659-23-033087	1534254	CION INVESTMENT CORP		US	NY	NEW YORK	10017	100 PARK AVENUE	25TH FLOOR	212-418-4700	US	NY	NEW YORK	10017	100 PARK AVENUE	25TH FLOOR	US	MD	453058280	C&#298;ON INVESTMENT CORP	20111104	2-ACC	0	1231	8-K	20230228			20230316	2023-03-16 08:31:00.0	0	0	tm239547d1_8k_htm.xml	1	
0001104659-23-033105	1022671	STEEL DYNAMICS INC	3312	US	IN	FORT WAYNE	46804	7575 W JEFFERSON BLVD		260 459 3553	US	IN	FORT WAYNE	46804	7575 W JEFFERSON BLVD		US	IN	351929476			1-LAF	0	1231	8-K	20230228			20230316	2023-03-16 09:24:00.0	0	0	tm239697d1_8k_htm.xml	1	
0001104659-23-033182	1680379	STERLING BANCORP, INC.	6035	US	MI	SOUTHFIELD	48076	ONE TOWNE SQUARE	SUITE 1900	248-351-3495	US	MI	SOUTHFIELD	48076	ONE TOWNE SQUARE	SUITE 1900	US	MI	382424834			2-ACC	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 12:07:00.0	0	1	sbt-20221231x10k_htm.xml	1	
0001104659-23-033218	1901037	STELLUS PRIVATE CREDIT BDC		US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	7132925414	US	TX	HOUSTON	77027	4400 POST OAK PARKWAY	SUITE 2200	US	DE	876878660			4-NON	0	1231	8-K	20230228			20230316	2023-03-16 13:26:00.0	0	0	tm239597d1_8k_htm.xml	1	
0001104659-23-033243	874710	ALLIED HEALTHCARE PRODUCTS INC	3842	US	MO	ST LOUIS	63110	1720 SUBLETTE AVE		3147712400	US	MO	ST LOUIS	63110	1720 SUBLETTE AVENUE		US	DE	231370721			4-NON	0	0630	8-K	20230228			20230316	2023-03-16 14:06:00.0	0	0	tm239758d1_8k_htm.xml	1	
0001104659-23-033299	84129	RITE AID CORP	5912	US	PA	PHILADELPHIA	19112	1200 INTREPID AVENUE, 2ND FLOOR		7177612633	US	PA	HARRISBURG	17105	PO BOX 3165		US	DE	231614034	RACK RITE DISTRIBUTORS	19680510	1-LAF	0	0228	8-K	20230228			20230316	2023-03-16 16:04:00.0	0	0	tm239773d1_8k_htm.xml	1	
0001104659-23-033300	1094038	MARKER THERAPEUTICS, INC.	2834	US	TX	HOUSTON	77032	4551 KENNEDY COMMERCE DR.		(713) 400-6400	US	TX	HOUSTON	77032	4551 KENNEDY COMMERCE DR.		US	DE	880277072	TAPIMMUNE INC.	20170629	4-NON	0	1231	8-K	20230228			20230316	2023-03-16 16:05:00.0	0	0	tm239491d1_8k_htm.xml	1	
0001104659-23-033303	897723	SANMINA CORP	3672	US	CA	SAN JOSE	95134	2700 N FIRST ST		4089643500	US	CA	SAN JOSE	95134	2700 N FIRST ST		US	DE	770228183	SANMINA-SCI CORP	20020211	1-LAF	0	0930	8-K	20230228			20230316	2023-03-16 16:06:00.0	0	0	tm239614d1_8k_htm.xml	1	
0001104659-23-033308	1479094	STAG INDUSTRIAL, INC.	6798	US	MA	BOSTON	02110	ONE FEDERAL STREET	23RD FLOOR	(617)574-4777	US	MA	BOSTON	02110	ONE FEDERAL STREET	23RD FLOOR			273099608	STAG INDUSTRIAL REIT, INC.	20091218	1-LAF	0	1231	8-K	20230228			20230316	2023-03-16 16:07:00.0	0	0	tm239802d1_8k_htm.xml	1	
0001104659-23-033309	1479094	STAG INDUSTRIAL, INC.	6798	US	MA	BOSTON	02110	ONE FEDERAL STREET	23RD FLOOR	(617)574-4777	US	MA	BOSTON	02110	ONE FEDERAL STREET	23RD FLOOR			273099608	STAG INDUSTRIAL REIT, INC.	20091218	1-LAF	0		DEF 14A				20230316	2023-03-16 16:09:00.0	0	0	tm231924d2_def14a_htm.xml	1	
0001104659-23-033314	1509745	LEAP THERAPEUTICS, INC.	2834	US	MA	CAMBRIDGE	02142	47 THORNDIKE STREET	SUITE B1-1	617 252 4343	US	MA	CAMBRIDGE	02142	47 THORNDIKE STREET	SUITE B1-1	US	DE	274412575	DEKKUN CORP	20110107	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 16:11:00.0	1	0	tm239782d1_8k_htm.xml	1	
0001104659-23-033319	913277	CLARUS CORP	3949	US	UT	SALT LAKE CITY	84124	2084 EAST 3900 SOUTH		801-278-5552	US	UT	SALT LAKE CITY	84124	2084 EAST 3900 SOUTH		US	DE	581972600	BLACK DIAMOND, INC.	20110121	2-ACC	0	1231	8-K	20230228			20230316	2023-03-16 16:15:00.0	0	0	tm239586d1_8k_htm.xml	1	
0001104659-23-033321	1000298	IMPAC MORTGAGE HOLDINGS INC	6798	US	CA	NEWPORT BEACH	92660	4000 MACARTHUR BLVD.	SUITE 6000	9494753600	US	CA	NEWPORT BEACH	92660	4000 MACARTHUR BLVD.	SUITE 6000	US	MD	330675505	IMPERIAL CREDIT MORTGAGE HOLDINGS INC	19950911	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 16:16:00.0	0	0	tm239407d1_8k_htm.xml	1	
0001104659-23-033343	1526243	PERPETUA RESOURCES CORP.	1040	US	ID	BOISE	83702	405 S. 8TH STREET		208-901-3060	US	ID	BOISE	83702	405 S. 8TH STREET		CA	BC	000000000	MIDAS GOLD CORP.	20110720	4-NON	0	1231	10-K	20221231	2022	FY	20230316	2023-03-16 16:31:00.0	0	1	ppta-20221231x10k_htm.xml	1	
0001104659-23-033344	36377	FIRST HAWAIIAN, INC.	6022	US	HI	HONOLULU	96813	999 BISHOP STREET		808-525-7000	US	HI	HONOLULU	96813	999 BISHOP STREET		US	DE	990156159	BANCWEST CORP/HI	19981105	1-LAF	0		DEF 14A				20230316	2023-03-16 16:31:00.0	0	0	tm232400d2_def14a_htm.xml	1	
0001104659-23-033349	819913	HALLMARK FINANCIAL SERVICES INC	6399	US	TX	FORT WORTH	76102	777 MAIN STREET, SUITE 1000		8173481600	US	TX	DALLAS	75240	5420 LYNDON B. JOHNSON FREEWAY	STE 1100	US	NV	870447375	ACOI INC	19920703	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 16:36:00.0	0	0	tm239821d1_8k_htm.xml	1	
0001104659-23-033350	1279704	CELLECTAR BIOSCIENCES, INC.	2834	US	NJ	FLORHAM PARK	07932	100 CAMPUS DRIVE		(608) 441-8120	US	NJ	FLORHAM PARK	07932	100 CAMPUS DRIVE		US	DE	043321804	NOVELOS THERAPEUTICS, INC.	20050617	4-NON	0	1231	10-K/A	20221231	2022	FY	20230316	2023-03-16 16:37:00.0	0	0	tm239725d1_10ka_htm.xml	1	
0001104659-23-033355	1839412	QUALTEK SERVICES INC.	1623	US	CA	NEWPORT BEACH	92660	888 SAN CLEMENTE DRIVE, SUITE 400		949-887-0331	US	CA	NEWPORT BEACH	92660	888 SAN CLEMENTE DRIVE, SUITE 400		US	DE	000000000	ROTH CH ACQUISITION III CO	20210107	4-NON	0	1231	8-K	20230228			20230316	2023-03-16 16:48:00.0	0	0	tm239631d1_8k_htm.xml	1	
0001104659-23-033357	1595527	AMERICAN STRATEGIC INVESTMENT CO.	6798	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	2124156500	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	US	MD	464380248	NEW YORK CITY REIT, INC.	20190313	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 16:51:00.0	0	0	tm239651d2_8k_htm.xml	1	
0001104659-23-033360	1630805	BABCOCK & WILCOX ENTERPRISES, INC.	3433	US	OH	AKRON	44305	1200 E. MARKET STREET, SUITE 650		3308606205	US	OH	AKRON	44305	1200 E. MARKET STREET, SUITE 650		US	DE	472783641			2-ACC	0	1231	8-K	20230228			20230316	2023-03-16 16:55:00.0	0	0	tm239774d1_8k_htm.xml	1	
0001104659-23-033361	202058	L3HARRIS TECHNOLOGIES, INC. /DE/	3812	US	FL	MELBOURNE	32919	1025 W NASA BLVD		3217279100	US	FL	MELBOURNE	32919	1025 W NASA BLVD		US	DE	340276860	HARRIS CORP /DE/	19920703	1-LAF	0	1231	8-K	20230228			20230316	2023-03-16 16:57:00.0	0	0	tm239330d1_8k_htm.xml	1	
0001104659-23-033367	1130598	ONCONOVA THERAPEUTICS, INC.	2834	US	PA	NEWTOWN	18940	375 PHEASANT RUN		267-759-3681	US	PA	NEWTOWN	18940	375 PHEASANT RUN		US	DE	000000000	ONCONOVA THERAPEUTICS, INC.	20090526	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 17:02:00.0	0	0	tm239793d1_8k_htm.xml	1	
0001104659-23-033369	845611	GABELLI CONVERTIBLE & INCOME SECURITIES FUND INC		US	NY	RYE	10580	ONE CORPORATE CENTER		2123098408	US	NY	RYE YORK	10580	ONE CORPORATE CENTER		US	MD	133523423	GABELLI CONVERTIBLE SECURITIES FUND INC /DE	19970507		0		POS EX				20230316	2023-03-16 17:04:00.0	0	0	tm239233d1_posex_htm.xml	1	
0001104659-23-033371	1867757	BLOCKCHAIN MOON ACQUISITION CORP.	6770	US	CA	HERMOSA BEACH	90254	1216 HERMOSA AVENUE, SUITE 1216A		4242626097	US	CA	HERMOSA BEACH	90254	1216 HERMOSA AVENUE, SUITE 1216A		US	DE	000000000			4-NON	0	1231	8-K/A	20230228			20230316	2023-03-16 17:10:00.0	0	0	tm239799d1_8ka_htm.xml	1	
0001104659-23-033374	1839185	SUMMIT HEALTHCARE ACQUISITION CORP.	6770	KY		GRAND CAYMAN	KY1-1104	UGLAND HOUSE, BOX 309		212-446-4800	KY		GRAND CAYMAN	KY1-1104	UGLAND HOUSE, BOX 309		KY		000000000			4-NON	0	1231	8-K	20230331			20230316	2023-03-16 17:15:00.0	0	0	tm239524d2_8k_htm.xml	1	
0001104659-23-033378	1547546	LUMENT FINANCE TRUST, INC.	6798	US	NY	NEW YORK	10169	230 PARK AVENUE	23RD FLOOR	(212) 588-2051	US	NY	NEW YORK	10169	230 PARK AVENUE	23RD FLOOR	US	MD	454966519	HUNT COMPANIES FINANCE TRUST, INC.	20180525	4-NON	0	1231	8-K	20230331			20230316	2023-03-16 17:23:00.0	0	0	tm239769d1_8k_htm.xml	1	
